# type (r;w;u;1-9),class,name,comment,QQ,ZZ,PBSB,ID,field1,part (m;s),type / templates,divider / values,unit,comment [1],field2,part (m;s) [1],type / templates [1],divider / values [1],unit [1],comment [2],field3,part (m;s) [2],type / templates [2],divider / values [2],unit [2],comment [3],field4,part (m;s) [3],type / templates [3],divider / values [3],unit [3],comment [4],field5,part (m;s) [4],type / templates [4],divider / values [4],unit [4],comment [5],field6,part (m;s) [5],type / templates [5],divider / values [5],unit [5],comment [6],field7,part (m;s) [6],type / templates [6],divider / values [6],unit [6],comment [7]
r;u,sm1,temp_76_04,,,76,5022,002803,temp_76_04,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_05,,,76,5022,002a03,temp_76_05,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_06,,,76,5022,002b03,temp_76_06,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_08,,,76,5022,002c03,temp_76_08,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_10,,,76,5022,002d03,temp_76_10,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_11,,,76,5022,002e0a,temp_76_11,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_12,,,76,5022,002f0a,temp_76_12,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_13,,,76,5022,00300a,temp_76_13,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_14,,,76,5022,00474e,temp_76_14,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_15,,,76,5022,00484e,temp_76_15,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_16,,,76,5022,00494e,temp_76_16,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_17,,,76,5022,004a4e,temp_76_17,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_18,,,76,5022,004b4e,temp_76_18,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_19,,,76,5022,004c4e,temp_76_19,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_20,,,76,5022,004d4e,temp_76_20,,SIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_21,,,76,5022,004e4e,temp_76_21,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_22,,,76,5022,004f4e,temp_76_22,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_23,,,76,5022,00504e,temp_76_23,,SIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_24,,,76,5022,00514e,temp_76_24,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_25,,,76,5022,00524e,temp_76_25,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_26,,,76,5022,00960b,temp_76_26,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_27,,,76,5022,00ae09,temp_76_27,,HEX:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_31,,,76,5022,09ae09,temp_76_31,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_32,,,76,5022,0b3613,temp_76_32,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_33,,,76,5022,0b4503,temp_76_33,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_35,,,76,5022,1bcf03,temp_76_35,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_37,,,76,5022,1e2d0a,temp_76_37,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_39,,,76,5022,273213,temp_76_39,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_44,,,76,5022,327e09,temp_76_44,,SIN,10,°C,Warmwassertemperatur_Solarspeicher_2_24h_max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_46,,,76,5022,374113,temp_76_46,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_48,,,76,5022,3ac20a,temp_76_48,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_50,,,76,5022,45fbfd,temp_76_50,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_51,,,76,5022,46454e,temp_76_51,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r;u,sm1,temp_76_52,,,76,5022,47ce03,temp_76_52,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
